자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인이상 가구,2인이상 가구,1인가구 비율
강남구,개포1동,"7,716","1,748","2,067","1,861","1,621",351,57,11,"5,968",0.2265
강남구,개포2동,"10,081","2,194","2,506","2,510","2,343",454,63,11,"7,887",0.2176
강남구,개포4동,"8,254","2,408","2,041","1,818","1,517",387,69,14,"5,846",0.2917
강남구,논현1동,"12,205","6,419","3,068","1,440",944,248,66,20,"5,786",0.5259
강남구,논현2동,"9,983","4,063","2,681","1,710","1,139",299,72,19,"5,920",0.4070
강남구,대치1동,"5,857",288,964,"1,734","2,253",505,89,24,"5,569",0.0492
강남구,대치2동,"12,604","1,544","2,465","3,588","4,102",756,114,35,"11,060",0.1225
강남구,대치4동,"9,166","3,779","2,238","1,542","1,251",282,64,10,"5,387",0.4123
강남구,도곡1동,"7,581","1,651","1,727","1,914","1,812",353,97,27,"5,930",0.2178
강남구,도곡2동,"10,835","1,435","2,586","3,154","2,891",619,127,23,"9,400",0.1324
강남구,삼성1동,"5,137","1,142","1,332","1,279","1,063",236,65,20,"3,995",0.2223
강남구,삼성2동,"11,587","3,659","2,724","2,409","2,206",465,94,30,"7,928",0.3158
강남구,세곡동,"14,422","3,573","3,183","3,004","3,131","1,142",307,82,"10,849",0.2477
강남구,소계,"211,357","61,897","51,614","45,477","40,514","9,322","1,974",559,"149,460",0.2929
강남구,수서동,"6,948","2,412","2,340","1,313",697,146,28,12,"4,536",0.3472
강남구,신사동,"6,861","2,074","1,857","1,450","1,132",274,55,19,"4,787",0.3023
강남구,압구정동,"9,321","1,773","2,665","2,451","1,843",445,109,35,"7,548",0.1902
강남구,역삼1동,"18,741","10,553","4,542","2,041","1,155",336,87,27,"8,188",0.5631
강남구,역삼2동,"12,666","3,771","2,754","2,750","2,695",554,108,34,"8,895",0.2977
강남구,일원1동,"6,856","2,186","1,785","1,407","1,110",285,65,18,"4,670",0.3188
강남구,일원2동,"6,168","1,511","1,731","1,473","1,188",215,39,11,"4,657",0.2450
강남구,일원본동,"7,571",908,"1,612","2,067","2,360",492,97,35,"6,663",0.1199
강남구,청담동,"10,797","2,806","2,746","2,562","2,061",478,102,42,"7,991",0.2599
