자치구,동,한식음식점업,용달 및 개별화물 자동차운송업,부동산자문 및 중개업,의류점,기타주점업,두발미용업,슈퍼마켓,분식 및 김밥전문점,비알콜 음료점,가정용 세탁업,노래연습장 운영업,체인화 편의점,치킨 전문점,자동차 전문 수리업,과실 및 채소소매업,육류 소매업,중국 음식점업,당구장 운영업,제과점업,컴퓨터게임방 운영업
강남구,개포1동,13,38,42,9,-,20,14,5,4,11,-,X,X,X,5,X,X,-,X,-
강남구,개포2동,56,23,51,14,20,33,14,16,14,15,7,8,11,4,4,4,X,4,7,X
강남구,개포4동,101,42,53,26,19,32,9,22,31,18,13,18,15,25,3,5,8,9,5,5
강남구,논현1동,318,18,193,100,102,98,35,32,103,40,34,53,23,10,11,16,18,14,13,8
강남구,논현2동,350,5,139,79,102,68,33,58,128,30,16,53,18,16,X,6,28,15,28,10
강남구,대치1동,46,X,67,13,7,29,8,19,25,12,5,11,8,X,4,7,3,X,12,6
강남구,대치2동,219,14,147,142,41,58,38,49,87,25,11,36,19,13,15,12,19,9,20,3
강남구,대치4동,238,8,188,71,56,78,21,51,102,23,28,45,22,12,3,4,22,13,26,9
강남구,도곡1동,78,14,81,27,20,28,12,21,42,13,4,21,6,15,X,X,3,5,9,X
강남구,도곡2동,96,X,88,37,26,19,14,13,40,13,9,18,6,9,-,X,14,7,20,X
강남구,삼성1동,254,15,97,231,46,37,25,32,114,10,15,34,13,9,X,3,26,14,26,X
강남구,삼성2동,158,18,167,50,33,56,21,39,90,25,10,46,19,12,7,11,15,8,20,5
강남구,세곡동,51,69,41,X,10,13,17,4,12,11,X,12,15,10,X,7,4,X,6,X
강남구,소계,3905,709,2565,2026,1046,1182,484,679,1672,434,317,689,318,195,88,130,318,180,380,114
강남구,수서동,92,34,48,6,15,16,12,13,22,11,5,8,9,-,X,X,8,3,7,X
강남구,신사동,261,4,105,397,85,79,19,51,140,13,26,35,13,5,4,11,23,8,47,5
강남구,압구정동,224,4,89,349,98,141,31,45,111,21,14,38,12,5,3,5,20,7,28,X
강남구,역삼1동,866,15,580,230,237,147,69,116,387,63,79,144,60,20,3,7,59,37,47,30
강남구,역삼2동,170,11,185,50,21,35,30,31,86,25,8,38,16,6,8,8,18,12,15,7
강남구,일원1동,80,326,20,14,27,20,16,13,14,9,21,8,15,11,3,5,4,6,4,9
강남구,일원2동,34,21,25,8,4,13,6,7,10,7,-,5,4,-,-,4,3,-,4,X
강남구,일원본동,15,22,37,6,4,21,15,11,10,14,-,7,X,X,4,3,X,-,4,X
강남구,청담동,185,5,122,165,73,141,25,31,100,25,11,50,11,10,4,5,18,6,31,4
강동구,강일동,26,131,22,3,7,18,11,10,16,12,X,15,4,9,X,5,4,X,8,X
강동구,고덕1동,32,75,34,3,16,18,11,8,4,8,4,6,3,5,X,4,4,X,X,X
강동구,고덕2동,46,97,24,11,13,18,16,16,3,X,5,3,7,12,12,7,4,X,X,4
강동구,길동,269,246,138,70,161,119,37,40,50,39,42,44,21,30,26,23,20,16,15,13
강동구,둔촌1동,X,45,44,41,-,10,15,5,5,9,-,X,-,-,X,4,-,-,X,-
강동구,둔촌2동,92,128,57,24,39,57,15,18,27,20,15,14,10,13,3,10,8,4,6,4
강동구,명일1동,108,70,56,87,34,62,22,36,44,14,20,17,16,10,29,14,6,11,13,3
강동구,명일2동,60,29,37,105,24,31,14,26,26,14,8,11,4,5,3,5,X,6,17,9
강동구,상일동,66,141,46,3,34,17,26,10,14,12,8,10,9,6,6,5,4,4,5,X
강동구,성내1동,130,81,43,15,44,27,17,24,47,17,12,17,7,19,3,5,7,9,5,-
강동구,성내2동,133,88,77,24,70,79,24,26,37,19,28,18,13,16,12,8,13,7,13,5
강동구,성내3동,183,88,73,49,104,73,16,37,56,21,34,26,17,23,18,17,15,15,12,11
강동구,소계,1774,2027,966,1059,884,847,399,384,471,311,263,277,166,220,191,174,128,112,143,81
강동구,암사1동,119,208,56,46,62,82,34,28,20,30,26,17,11,12,23,17,7,10,8,6
강동구,암사2동,52,85,39,10,13,26,15,10,16,9,6,8,X,4,4,3,3,3,9,3
강동구,암사3동,16,76,25,12,3,18,11,10,3,6,-,3,5,5,5,5,-,-,5,-
강동구,천호1동,70,148,47,46,37,58,27,16,18,21,7,15,12,13,3,10,6,4,8,4
강동구,천호2동,269,175,91,393,145,84,56,39,54,34,33,34,13,28,28,25,19,11,10,8
강동구,천호3동,102,116,57,117,78,50,32,25,31,24,13,18,12,10,10,7,6,7,4,6
강북구,미아동,139,101,73,51,79,73,27,21,31,20,22,24,13,9,10,8,8,7,9,5
강북구,번1동,128,66,53,35,71,54,27,25,24,18,30,26,7,8,7,8,7,5,7,4
강북구,번2동,22,96,12,X,8,17,19,6,5,10,4,4,4,9,X,4,X,3,X,3
강북구,번3동,29,70,14,6,14,24,13,6,9,10,3,10,10,4,X,6,X,3,5,3
강북구,삼각산동,44,79,39,16,21,25,10,14,15,12,-,6,7,-,7,10,5,X,7,X
강북구,삼양동,62,125,29,22,28,49,40,10,4,18,10,9,10,3,6,8,4,4,8,5
강북구,소계,1512,1238,543,451,776,603,361,232,271,216,281,190,134,130,146,154,95,72,87,56
강북구,송중동,171,109,57,60,104,58,34,28,36,21,33,18,18,17,15,16,13,8,12,5
강북구,송천동,173,117,69,39,111,77,44,31,28,25,17,15,19,20,15,16,12,6,5,3
강북구,수유1동,120,95,34,79,37,35,24,16,13,15,13,11,4,12,32,18,9,6,5,3
강북구,수유2동,88,91,39,19,43,54,23,16,9,14,16,14,12,16,4,11,5,7,7,5
강북구,수유3동,273,70,68,67,164,62,34,22,36,17,103,25,16,14,25,19,15,14,11,12
강북구,우이동,175,63,15,33,62,22,29,16,30,8,21,11,9,6,6,13,5,6,5,-
강북구,인수동,88,156,41,23,34,53,37,21,31,28,9,17,5,12,16,17,8,X,4,6
강서구,가양1동,92,77,53,9,22,25,13,12,21,12,11,19,5,33,3,5,7,5,4,-
강서구,가양2동,27,63,18,29,8,16,6,8,4,10,4,5,7,X,4,5,X,3,3,3
강서구,가양3동,19,81,12,20,4,15,10,4,4,8,-,X,3,X,X,3,4,-,3,-
강서구,공항동,147,96,40,18,73,38,24,17,20,14,26,24,8,23,X,6,10,6,5,3
강서구,등촌1동,117,85,60,50,40,31,14,23,29,14,16,21,11,24,4,4,4,7,8,3
강서구,등촌2동,32,60,21,7,17,23,11,14,15,9,4,9,12,4,X,4,3,X,5,X
강서구,등촌3동,118,124,58,150,31,46,30,27,48,17,17,18,15,17,3,12,12,5,15,6
강서구,발산1동,81,174,51,38,26,48,33,45,28,15,7,15,16,11,21,16,7,5,18,3
강서구,방화1동,143,190,104,65,61,86,28,26,35,26,27,26,26,21,23,26,11,9,12,5
강서구,방화2동,122,128,45,198,63,44,25,19,31,13,23,18,10,20,3,8,9,7,14,6
강서구,방화3동,32,109,23,15,13,25,13,8,10,14,3,12,6,3,X,-,X,X,7,X
강서구,소계,1851,2256,1000,894,921,860,418,380,452,332,343,326,227,249,139,189,136,117,168,85
강서구,염창동,108,113,75,23,35,48,22,20,35,25,15,16,11,20,5,9,8,7,14,6
