자치구,동,총 수급자
강남구,개포1동,316
강남구,개포2동,185
강남구,개포4동,295
강남구,기타,-
강남구,논현1동,263
강남구,논현2동,205
강남구,대치1동,12
강남구,대치2동,93
강남구,대치4동,173
강남구,도곡1동,62
강남구,도곡2동,23
강남구,삼성1동,56
강남구,삼성2동,220
강남구,세곡동,838
강남구,소계,"6,915"
강남구,수서동,"1,868"
강남구,신사동,93
강남구,압구정동,40
강남구,역삼1동,281
강남구,역삼2동,276
강남구,일원1동,817
강남구,일원2동,647
강남구,일원본동,29
강남구,청담동,123
강동구,강일동,506
강동구,고덕1동,153
강동구,고덕2동,306
강동구,기타,-
강동구,길동,608
강동구,둔촌1동,41
강동구,둔촌2동,275
강동구,명일1동,173
강동구,명일2동,84
강동구,상일동,131
강동구,성내1동,113
강동구,성내2동,486
강동구,성내3동,256
강동구,소계,"6,310"
강동구,암사1동,846
강동구,암사2동,69
강동구,암사3동,58
강동구,천호1동,608
강동구,천호2동,897
강동구,천호3동,700
강북구,기타,-
강북구,미아동,559
강북구,번1동,549
강북구,번2동,789
강북구,번3동,"1,261"
강북구,삼각산동,753
강북구,삼양동,994
강북구,소계,"9,993"
강북구,송중동,694
강북구,송천동,871
강북구,수유1동,711
강북구,수유2동,617
강북구,수유3동,658
강북구,우이동,527
강북구,인수동,"1,010"
강서구,가양1동,94
강서구,가양2동,"1,870"
강서구,가양3동,"1,238"
강서구,공항동,412
강서구,기타,-
강서구,등촌1동,123
강서구,등촌2동,173
강서구,등촌3동,"3,349"
강서구,발산1동,473
강서구,방화1동,406
강서구,방화2동,818
강서구,방화3동,"1,203"
강서구,소계,"13,757"
강서구,염창동,98
강서구,우장산동,235
강서구,화곡1동,773
강서구,화곡2동,345
강서구,화곡3동,246
강서구,화곡4동,399
강서구,화곡6동,363
강서구,화곡8동,399
강서구,화곡본동,740
관악구,기타,-
관악구,낙성대동,189
관악구,난곡동,802
관악구,난향동,292
관악구,남현동,102
관악구,대학동,343
관악구,미성동,583
관악구,보라매동,461
관악구,삼성동,712
관악구,서림동,370
관악구,서원동,349
관악구,성현동,774
관악구,소계,"8,771"
관악구,신림동,274
관악구,신사동,442
관악구,신원동,423
관악구,은천동,727
관악구,인헌동,227
관악구,조원동,246
관악구,중앙동,217
관악구,청룡동,358
관악구,청림동,324
관악구,행운동,556
광진구,광장동,83
광진구,구의1동,349
광진구,구의2동,439
광진구,구의3동,163
광진구,군자동,387
광진구,기타,-
광진구,능동,134
광진구,소계,"5,096"
광진구,자양1동,452
광진구,자양2동,269
광진구,자양3동,180
광진구,자양4동,540
광진구,중곡1동,304
광진구,중곡2동,399
광진구,중곡3동,470
광진구,중곡4동,686
광진구,화양동,241
구로구,가리봉동,478
구로구,개봉1동,624
구로구,개봉2동,407
구로구,개봉3동,386
구로구,고척1동,279
구로구,고척2동,473
구로구,구로1동,44
구로구,구로2동,582
구로구,구로3동,218
구로구,구로4동,486
구로구,구로5동,239
구로구,기타,-
구로구,소계,"5,666"
구로구,수궁동,341
구로구,신도림동,90
구로구,오류1동,428
구로구,오류2동,591
금천구,가산동,389
금천구,기타,-
금천구,독산1동,833
금천구,독산2동,693
금천구,독산3동,670
금천구,독산4동,471
금천구,소계,"6,263"
금천구,시흥1동,837
금천구,시흥2동,752
금천구,시흥3동,186
금천구,시흥4동,605
금천구,시흥5동,827
노원구,공릉1동,"1,218"
노원구,공릉2동,419
노원구,기타,-
노원구,상계10동,187
노원구,상계1동,686
노원구,상계2동,479
노원구,상계3.4동,"1,405"
노원구,상계5동,798
노원구,상계6.7동,388
노원구,상계8동,106
노원구,상계9동,177
노원구,소계,"15,384"
노원구,월계1동,470
노원구,월계2동,"1,812"
노원구,월계3동,"1,106"
노원구,중계1동,376
노원구,중계2.3동,"2,367"
노원구,중계4동,913
노원구,중계본동,275
노원구,하계1동,"1,634"
노원구,하계2동,568
도봉구,기타,-
도봉구,도봉1동,709
도봉구,도봉2동,558
도봉구,방학1동,750
도봉구,방학2동,"1,139"
도봉구,방학3동,199
도봉구,소계,"6,641"
도봉구,쌍문1동,572
도봉구,쌍문2동,511
도봉구,쌍문3동,334
도봉구,쌍문4동,130
도봉구,창1동,272
도봉구,창2동,517
도봉구,창3동,526
도봉구,창4동,195
도봉구,창5동,229
동대문구,기타,-
동대문구,답십리1동,426
동대문구,답십리2동,653
동대문구,소계,"8,278"
동대문구,용신동,962
동대문구,이문1동,610
동대문구,이문2동,489
동대문구,장안1동,630
동대문구,장안2동,489
동대문구,전농1동,"1,060"
동대문구,전농2동,389
동대문구,제기동,845
동대문구,청량리동,"1,002"
동대문구,회기동,155
동대문구,휘경1동,293
동대문구,휘경2동,275
동작구,기타,-
동작구,노량진1동,435
동작구,노량진2동,403
동작구,대방동,651
동작구,사당1동,266
동작구,사당2동,277
동작구,사당3동,170
동작구,사당4동,214
동작구,사당5동,163
동작구,상도1동,592
동작구,상도2동,253
동작구,상도3동,421
동작구,상도4동,521
동작구,소계,"5,227"
동작구,신대방1동,230
동작구,신대방2동,224
동작구,흑석동,407
마포구,공덕동,549
마포구,기타,-
마포구,대흥동,223
마포구,도화동,286
마포구,망원1동,397
마포구,망원2동,242
마포구,상암동,320
마포구,서강동,165
마포구,서교동,200
마포구,성산1동,274
마포구,성산2동,904
마포구,소계,"4,882"
마포구,신수동,173
마포구,아현동,336
마포구,연남동,171
마포구,염리동,237
마포구,용강동,156
마포구,합정동,249
서대문구,기타,-
서대문구,남가좌1동,128
서대문구,남가좌2동,524
서대문구,북가좌1동,173
서대문구,북가좌2동,549
서대문구,북아현동,208
서대문구,소계,"5,167"
서대문구,신촌동,449
