구,동,"월세
(만원)","보증금
(만원)","면적
(m²)",거래량
강남구,개포동,57,490,30.2,20
강남구,논현동,93,817,41.6,123
강남구,대치동,84,692,39.3,59
강남구,도곡동,87,696,32.9,13
강남구,삼성동,86,746,39.8,67
강남구,신사동,87,686,35.7,31
강남구,역삼동,95,808,37.1,155
강남구,일원동,42,400,30.2,18
강남구,자곡동,62,505,26.1,33
강남구,청담동,83,786,30.3,22
강동구,고덕동,35,282,32.3,11
강동구,길동,47,438,30.1,63
강동구,둔촌동,40,390,25.3,10
강동구,성내동,39,356,30.6,91
강동구,암사동,35,297,27.8,69
강동구,천호동,39,328,31.1,137
강북구,미아동,36,315,26.9,180
강북구,번동,34,283,37.2,75
강북구,수유동,35,285,32.9,101
강서구,가양동,48,500,23.6,13
강서구,공항동,40,364,27.0,39
강서구,등촌동,67,609,35.8,38
강서구,마곡동,48,481,20.6,103
강서구,방화동,38,348,28.8,59
강서구,화곡동,42,387,31.3,202
관악구,봉천동,43,373,25.5,277
관악구,신림동,43,325,23.2,765
광진구,구의동,43,402,30.3,65
광진구,군자동,34,304,22.3,40
광진구,능동,47,488,26.4,13
광진구,자양동,39,345,26.6,163
광진구,중곡동,37,348,32.5,65
광진구,화양동,49,420,23.2,147
구로구,가리봉동,36,304,23.5,40
구로구,개봉동,33,266,34.8,28
구로구,고척동,28,237,36.8,23
구로구,구로동,44,384,25.2,193
구로구,궁동,55,364,47.1,11
구로구,신도림동,69,650,38.2,10
구로구,오류동,39,338,25.9,39
금천구,가산동,41,332,17.6,71
금천구,독산동,32,247,23.1,254
금천구,시흥동,29,242,28.8,122
노원구,공릉동,44,383,29.5,47
노원구,상계동,39,366,32.8,74
노원구,월계동,35,298,23.5,30
도봉구,도봉동,39,313,37.9,28
도봉구,방학동,33,308,47.6,43
도봉구,쌍문동,34,306,45.0,46
도봉구,창동,30,288,29.7,32
동대문구,답십리동,43,381,26.4,18
동대문구,신설동,44,412,18.5,10
동대문구,용두동,32,250,20.1,19
동대문구,이문동,34,294,29.8,124
동대문구,장안동,46,461,26.6,79
동대문구,전농동,37,354,27.1,29
동대문구,제기동,40,351,23.6,65
동대문구,청량리동,27,234,24.0,34
동대문구,회기동,38,325,20.7,51
동대문구,휘경동,40,360,24.9,51
동작구,노량진동,49,449,17.5,151
동작구,대방동,46,433,25.5,38
동작구,본동,35,333,27.4,15
