구,동,거래량,"보증금
(만원)","면적
(m²)"
강남구,개포동,112,"6,898",31.1
강남구,논현동,127,"7,425",31.5
강남구,대치동,94,"7,837",31.2
강남구,도곡동,26,"7,619",33.8
강남구,삼성동,50,"7,434",35.2
강남구,세곡동,6,"6,083",34.9
강남구,수서동,1,"6,000",63.5
강남구,신사동,63,"7,441",30.3
강남구,역삼동,149,"7,350",26.8
강남구,율현동,2,"7,000",40.0
강남구,일원동,66,"6,853",33.3
강남구,자곡동,6,"5,833",21.6
강남구,청담동,29,"7,679",27.4
강동구,강일동,6,"7,317",17.7
강동구,고덕동,222,"6,428",42.0
강동구,길동,261,"6,788",38.0
강동구,둔촌동,108,"6,613",30.8
강동구,명일동,59,"6,312",36.2
강동구,상일동,62,"6,626",43.6
강동구,성내동,541,"6,710",34.6
강동구,암사동,334,"6,267",32.8
강동구,천호동,630,"6,079",36.8
강북구,미아동,1048,"5,796",37.8
강북구,번동,367,"5,798",38.5
강북구,수유동,826,"5,815",40.0
강북구,우이동,68,"6,297",43.8
강서구,가양동,101,"6,965",20.8
강서구,개화동,6,"5,417",36.8
강서구,공항동,282,"6,109",40.1
강서구,내발산동,77,"5,999",33.4
강서구,등촌동,318,"6,784",31.7
강서구,마곡동,38,"8,487",21.5
강서구,방화동,346,"6,277",36.5
강서구,염창동,39,"6,659",27.3
강서구,외발산동,9,"7,111",39.4
강서구,화곡동,1292,"6,291",38.5
관악구,남현동,109,"7,483",27.6
관악구,봉천동,1830,"6,142",27.2
관악구,신림동,2349,"5,984",39.7
광진구,광장동,37,"6,765",32.5
광진구,구의동,524,"6,705",32.9
광진구,군자동,290,"6,237",28.2
광진구,능동,142,"6,793",27.7
광진구,자양동,596,"6,466",33.7
광진구,중곡동,721,"6,719",37.3
광진구,화양동,212,"6,873",22.9
구로구,가리봉동,100,"5,986",36.2
구로구,개봉동,367,"6,150",43.0
구로구,고척동,196,"5,709",40.7
구로구,구로동,745,"6,340",32.1
구로구,궁동,101,"6,883",41.7
구로구,신도림동,27,"6,630",48.2
구로구,오류동,231,"6,040",40.9
구로구,온수동,51,"7,678",46.3
구로구,천왕동,24,"7,412",38.9
구로구,항동,9,"7,333",41.4
금천구,가산동,163,"5,799",24.3
금천구,독산동,873,"5,674",32.4
금천구,시흥동,820,"5,882",39.3
노원구,공릉동,424,"6,147",28.3
노원구,상계동,691,"6,072",40.9
노원구,월계동,185,"5,911",31.3
노원구,중계동,47,"6,587",40.6
노원구,하계동,19,"6,511",28.7
도봉구,도봉동,190,"5,634",44.2
도봉구,방학동,422,"5,806",52.9
도봉구,쌍문동,401,"5,687",48.7
도봉구,창동,433,"5,856",45.2
동대문구,답십리동,150,"6,444",38.4
동대문구,신설동,9,"7,611",27.2
동대문구,용두동,134,"6,383",28.8
동대문구,이문동,467,"6,055",32.1
동대문구,장안동,252,"6,864",34.3
동대문구,전농동,224,"6,421",37.4
동대문구,제기동,223,"6,116",30.1
동대문구,청량리동,150,"6,164",34.1
동대문구,회기동,184,"6,361",25.4
동대문구,휘경동,332,"6,013",27.2
동작구,노량진동,408,"6,276",25.8
동작구,대방동,272,"6,360",27.6
동작구,동작동,1,"8,000",66.0
동작구,본동,40,"6,175",33.3
동작구,사당동,616,"6,660",32.3
동작구,상도1동,91,"6,644",22.8
동작구,상도동,788,"6,382",29.9
동작구,신대방동,292,"6,208",29.7
동작구,흑석동,150,"6,059",32.3
마포구,공덕동,140,"6,550",33.5
마포구,구수동,12,"6,333",30.1
마포구,노고산동,69,"6,372",26.4
마포구,당인동,13,"6,831",31.8
마포구,대흥동,83,"6,164",28.9
마포구,도화동,56,"7,009",34.0
마포구,동교동,38,"7,395",27.8
마포구,마포동,23,"7,239",26.3
마포구,망원동,257,"7,068",34.4
마포구,상수동,56,"7,923",27.8
마포구,상암동,59,"7,356",27.6
마포구,서교동,137,"7,257",28.9
마포구,성산동,226,"7,027",34.7
마포구,신공덕동,29,"6,590",36.9
마포구,신수동,98,"7,168",28.6
마포구,신정동,1,"8,000",27.0
마포구,아현동,97,"6,299",42.1
마포구,연남동,117,"7,054",31.7
마포구,염리동,73,"5,978",31.0
마포구,용강동,7,"6,243",25.3
마포구,중동,38,"7,042",38.2
마포구,창전동,73,"6,842",27.6
마포구,하중동,1,"8,500",17.3
