자치구,동,주택 수 합계,단독주택,다가구주택,영업겸용,아파트,연립주택,다세대주택,비거주용건물내주택
강남구,개포1동,6869,X,5,X,6771,X,90,X
강남구,개포2동,11537,X,40,15,11174,9,274,21
강남구,개포4동,6393,15,207,73,3122,481,2286,209
강남구,논현1동,7220,98,677,184,1551,921,3556,233
강남구,논현2동,6597,96,458,131,2724,694,2330,164
강남구,대치1동,6726,X,X,X,6629,12,72,6
강남구,대치2동,11736,11,98,46,9999,407,1142,33
강남구,대치4동,6094,29,383,107,1929,125,3388,133
강남구,도곡1동,6568,14,93,28,5591,187,598,57
강남구,도곡2동,10222,X,27,18,9728,126,243,78
강남구,삼성1동,4562,105,93,43,3111,381,778,51
강남구,삼성2동,10073,32,298,74,6949,164,2469,87
강남구,세곡동,12097,230,312,30,11400,X,122,X
강남구,소계,176654,1060,5010,1367,133127,6106,28122,1862
강남구,수서동,6761,24,18,5,6713,X,X,X
강남구,신사동,5020,34,261,95,3580,127,758,165
강남구,압구정동,8891,33,87,58,7842,251,490,130
강남구,역삼1동,10758,204,874,238,2466,1036,5710,230
강남구,역삼2동,11140,36,260,48,8511,258,1965,62
강남구,일원1동,4379,22,452,96,3033,7,695,74
강남구,일원2동,6405,X,X,X,6404,X,X,X
강남구,일원본동,7265,X,86,X,6884,291,X,X
강남구,청담동,9341,66,277,73,7016,629,1156,124
강동구,강일동,10348,45,13,8,10280,X,X,X
강동구,고덕1동,3893,22,248,66,3196,X,314,47
강동구,고덕2동,3716,16,472,102,2771,X,316,39
강동구,길동,14311,26,670,213,9110,619,3507,166
강동구,둔촌1동,5935,X,X,X,5930,X,X,X
강동구,둔촌2동,7489,44,431,123,4941,238,1638,74
강동구,명일1동,7563,9,179,76,6306,119,806,68
강동구,명일2동,4485,X,100,64,4196,X,93,29
강동구,상일동,7232,9,139,111,5836,636,457,44
강동구,성내1동,5544,6,132,77,2640,413,2163,113
강동구,성내2동,5368,76,1055,267,1741,196,1933,100
강동구,성내3동,5951,8,445,170,2488,224,2518,98
강동구,소계,119824,712,8556,2077,78697,3704,24886,1192
강동구,암사1동,8630,32,1050,214,2757,311,4181,85
강동구,암사2동,4693,25,168,45,3679,86,661,29
강동구,암사3동,5474,77,114,19,4730,38,479,17
강동구,천호1동,6541,32,966,167,2571,383,2357,65
